1,66
2,65
3,66
4,64
5,61
6,60
7,62
8,64
9,65
10,62
11,59
12,57
13,57
14,57
15,60
16,59
17,60
18,62
19,63
20,64
21,61
22,59
23,61
24,62
25,60
26,57
27,59
28,62
29,62
30,59
31,59
32,58
33,60
34,58
35,61
36,60
37,61
38,60
39,62
40,60
41,59
42,61
43,59
44,62
45,59
46,62
47,64
48,67
49,64
50,61
51,64
52,66
53,64
54,67
55,64
56,63
57,66
58,67
59,68
60,66
61,63
62,64
63,62
64,64
65,67
66,67
67,69
68,72
69,73
70,73
71,75
72,72
73,71
74,72
75,73
76,74
77,73
78,70
79,69
80,67
81,69
82,69
83,66
84,64
85,64
86,65
87,67
88,66
89,67
90,65
91,62
92,62
93,59
94,61
95,58
96,61
97,64
98,64
99,66
100,63
101,63
102,61
103,58
104,57
105,59
106,56
107,53
108,51
109,48
110,48
111,49
112,46
113,47
114,45
115,47
116,48
117,48
118,49
119,46
120,48
121,50
122,51
123,51
124,53
125,53
126,50
127,48
128,51
129,54
130,51
131,54
132,53
133,55
134,53
135,52
136,51
137,52
138,55
139,57
140,55
141,55
142,55
143,57
144,59
145,62
146,62
147,60
148,63
149,65
150,67
151,64
152,61
153,58
154,61
155,62
156,61
157,64
158,67
159,64
160,62
161,59
162,59
163,60
164,57
165,56
166,53
167,50
168,52
169,49
170,48
171,47
172,48
173,50
174,50
175,47
176,50
177,47
178,47
179,49
180,49
181,47
182,48
183,49
184,49
185,49
186,51
187,48
188,45
189,46
190,45
191,43
192,44
193,45
194,45
195,47
196,49
197,46
198,49
199,46
200,44
201,45
202,44
203,42
204,43
205,45
206,48
207,49
208,47
209,45
210,48
211,45
212,42
213,45
214,45
215,44
216,44
217,43
218,45
219,43
220,42
221,45
222,48
223,51
224,51
225,50
226,50
227,48
228,49
229,48
230,49
231,49
232,46
233,46
234,47
235,50
236,49
237,46
238,45
239,46
240,43
241,46
242,49
243,51
244,49
245,48
246,49
247,46
248,45
249,44
250,41
251,44
252,41
253,44
254,47
255,47
256,50
257,52
258,54
259,56
260,59
261,57
262,54
263,57
264,55
265,57
266,55
267,56
268,56
269,58
270,61
271,64
272,63
273,63
274,66
275,64
276,66
277,64
278,64
279,64
280,65
281,66
282,64
283,64
284,64
285,66
286,69
287,70
288,70
289,70
290,72
291,70
292,69
293,70
294,73
295,70
296,69
297,71
298,71
299,73
